@relation homes-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute postal-code {84003,84004,84005,84013,84020,84042,84043,84045,84049,84057,84058,84062,84074,84078,84097,84601,84604,84606,84629,84633,84651,84653,84655,84660,84663,84664}
@attribute bedrooms {1,2,3,4,5,6,7,8}
@attribute bathrooms {1,2,3,4,5,6,8}
@attribute square-feet numeric
@attribute lot-size numeric
@attribute cars {0,1,2,3,4,5,6,7,8,10,12}
@attribute type {'Condo/Townhome/Row Home/Co-Op','Mfd/Mobile Home','Multi-Family Home','Single Family Home'}
@attribute cost numeric

@data
84058,3,2,0.115916,0.000209,2,'Condo/Townhome/Row Home/Co-Op',256000
84043,3,2,0.390269,0.003035,2,'Single Family Home',466900
84057,4,1,0.143154,0.002093,2,'Single Family Home',229999
84062,3,2,0.087119,0.000209,0,'Condo/Townhome/Row Home/Co-Op',185000
84062,6,3,0.294937,0.001988,2,'Single Family Home',359900
84664,4,2,0.32363,0.001256,2,'Single Family Home',399950
84045,5,3,0.463146,0.006907,3,'Single Family Home',449900
84043,3,2,0.198149,0.001779,3,'Single Family Home',384900
84043,4,3,0.111134,0.002825,2,'Single Family Home',270000
84005,3,3,0.276432,0.002198,2,'Single Family Home',342500
84651,4,2,0.169768,0.001465,0,'Single Family Home',195000
84043,3,2,0.075788,0.000209,1,'Condo/Townhome/Row Home/Co-Op',199900
84651,3,2,0.079946,0.000105,2,'Condo/Townhome/Row Home/Co-Op',188500
84653,6,3,0.298888,0.003558,2,'Single Family Home',356900
84062,3,2,0.091174,0.000209,2,'Condo/Townhome/Row Home/Co-Op',234990
84663,4,3,0.283709,0.003663,2,'Single Family Home',350000
84020,6,3,0.326749,0.003139,3,'Single Family Home',475000
84045,5,3,0.309596,0.002407,3,'Single Family Home',369900
84043,3,3,0.211145,0.000837,2,'Single Family Home',375000
84601,3,2,0.053332,0.000105,0,'Condo/Townhome/Row Home/Co-Op',149900
84655,3,2,0.241605,0.004081,2,'Single Family Home',299900
84660,5,3,0.20865,0.00136,2,'Single Family Home',274900
84664,4,3,0.374883,0.001256,2,'Single Family Home',378131
84005,5,2,0.320304,0.001674,2,'Single Family Home',339000
84651,4,2,0.299823,0.001988,2,'Single Family Home',346900
84601,2,1,0.01653,0,0,'Condo/Townhome/Row Home/Co-Op',150000
84651,3,2,0.080466,0.000209,0,'Condo/Townhome/Row Home/Co-Op',168000
84651,4,2,0.371972,0.002198,2,'Single Family Home',369900
84660,6,3,0.314482,0.002093,2,'Single Family Home',369000
84097,6,3,0.2966,0.002721,2,'Single Family Home',339800
84660,3,2,0.143778,0.001884,2,'Single Family Home',239900
84057,3,1,0.060297,0.001779,0,'Single Family Home',205000
84058,3,2,0.158644,?,2,'Single Family Home',277990
84062,5,3,0.166649,0.003139,2,'Single Family Home',310000
84058,3,2,0.124545,?,2,'Single Family Home',269900
84005,4,2,0.172887,0.000523,2,'Single Family Home',231900
84045,3,2,0.106144,?,2,'Single Family Home',324900
84045,3,2,0.276016,0.00157,3,'Single Family Home',349950
84601,3,2,0.312299,?,2,'Single Family Home',336990
84005,3,2,0.13806,0.000523,2,'Single Family Home',219900
84045,3,2,0.180164,?,2,'Condo/Townhome/Row Home/Co-Op',237990
84663,3,2,0.2546,0.012662,2,'Single Family Home',389000
84663,3,2,0.262917,?,3,'Single Family Home',374950
84604,7,3,0.267076,0.001988,2,'Single Family Home',339000
84655,4,3,0.302942,0.00429,2,'Single Family Home',309900
84043,8,4,0.508473,0.003558,3,'Single Family Home',586000
84043,5,4,0.754652,0.01036,3,'Single Family Home',695000
84043,4,3,0.145649,0.001779,2,'Single Family Home',289900
84663,4,2,0.161347,0.002512,2,'Single Family Home',300000
84045,4,2,0.157293,0.002093,2,'Single Family Home',279900
84655,3,2,0.14357,0.002512,2,'Single Family Home',245900
84045,3,2,0.253561,0.001988,2,'Single Family Home',326400
84604,3,3,0.214679,0,2,'Condo/Townhome/Row Home/Co-Op',257000
84651,3,2,0.245036,0.002198,2,'Single Family Home',289900
84655,3,2,0.284957,0.002198,2,'Single Family Home',309900
84005,3,2,0.198461,0.000942,2,'Single Family Home',254900
84606,2,1,0.047718,0.000942,0,'Condo/Townhome/Row Home/Co-Op',145000
84606,4,2,0.063312,0,0,'Condo/Townhome/Row Home/Co-Op',265000
84651,3,2,0.354507,0.003767,2,'Single Family Home',384900
84045,4,2,0.260942,0.002093,3,'Single Family Home',379990
84651,3,2,0.302734,0.003453,2,'Single Family Home',337900
84604,4,2,0.340056,0.000628,2,'Single Family Home',573828
84651,5,3,0.323734,0.004186,3,'Single Family Home',360000
84604,4,2,0.642582,0.008372,3,'Single Family Home',599000
84043,4,2,0.468656,0.003558,3,'Single Family Home',625000
84606,6,2,0.229754,0.001465,0,'Multi-Family Home',400000
84663,5,3,0.374363,0.002512,2,'Single Family Home',409900
84062,3,2,0.134006,0.000314,2,'Condo/Townhome/Row Home/Co-Op',234000
84663,5,3,0.361888,0.001988,0,'Single Family Home',330000
84660,4,1,0.155629,0.001046,0,'Single Family Home',237500
84057,5,3,0.236303,0.001779,2,'Single Family Home',314900
84042,7,4,0.566587,0.004709,3,'Single Family Home',815000
84058,3,2,0.159996,0,2,'Condo/Townhome/Row Home/Co-Op',245900
84003,6,4,0.341096,0.002302,2,'Single Family Home',447000
84045,6,4,0.475205,0.002093,4,'Single Family Home',489900
84062,6,3,0.319056,0.001674,3,'Single Family Home',399900
84045,5,2,0.284749,0.002302,2,'Single Family Home',329900
84663,4,2,0.254808,0.002302,2,'Single Family Home',309900
